,Movie Name,Year of Release,Run Time,Rating,Metascore,Genre,Votes,Gross,Description
107,Hamilton,-2020,160 min,8.3,89,"Biography, Drama, History","103,603",#109,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
108,Incendies,-2010,131 min,8.3,80,"Drama, Mystery","186,310",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
109,Up,-2009,96 min,8.3,88,"Animation, Adventure, Comedy","1,079,134",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
110,Star Wars: Episode VI - Return of the Jedi,-1983,131 min,8.3,58,"Action, Adventure, Fantasy","1,084,836",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
111,Amélie,-2001,122 min,8.3,69,"Comedy, Romance","773,281",$33.23M,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
112,Princess Mononoke,-1997,134 min,8.3,76,"Animation, Action, Adventure","410,686",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
113,Lawrence of Arabia,-1962,218 min,8.3,100,"Adventure, Biography, Drama","303,252",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
114,Toy Story 3,-2010,103 min,8.3,92,"Animation, Adventure, Comedy","861,848",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
115,Vertigo,-1958,128 min,8.3,100,"Mystery, Romance, Thriller","413,389",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
116,Citizen Kane,-1941,119 min,8.3,100,"Drama, Mystery","453,169",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
